imdbID,Title,Year,Rating10,Review,Tags,SafeForParents,ForKids
tt30496489,Turma da Mônica: Origens,2024,,"É uma série ok da Turma da Mônica. A Denise ficou meio estranha, ainda insistem na Milena, mas não tem grandes problemas nem grandes emoções. Claro, fica difícil não ser mais exigente depois de ver **Turma da Mônica - A Série (2022)** que aí, sim, é uma boa produção que me surpreendeu muito.",['Turma da Mônica'],True,True
tt9174578,Around the World in 80 Days,2021,7.5,"Não tem jeito, o que o David Tennant faz eu vou tá lá assistindo

E pô super recomendo. É uma mini série curtinha e vale muito a pena. É a clássica história do Júlio Verne onde um britânico viaja o mundo passando por lugares como reino Unido, colônia britânica 1, colônia britânica 2, colônia britânica 3 e ex colônia britânica.",,True,False
tt4230076,The Defenders,2017,,,['Marvel'],False,False
tt31193703,Douglas Is Cancelled,2024,9.0,"Não tem jeito, o que o Moffat faz eu vou tá assistindo.

Essa mini série conta história de um jornalista que contou uma piada machista e agora precisa fazer de tudo pra essa piada não vazar. E o pior: ele não lembra qual foi a piada.

Mas deixa eu falar viu, quem realmente brilha nessa série é a Karen Gillan. QUE MULHER!

E quando a Alex Kingston entra em cena então...",,True,False
tt33088401,Dream Productions,2024,,,,True,True
tt10168312,What If...?,2021,,,,True,False
tt3061046,Steven Universo,2013,8.0,"Um menino que chora por tudo tem aventuras com suas tias sapatonas. Mas gente acho que consigo contar nos dedos de uma mão quantos héteros tem nesse desenho.

Agora de alguma forma o desenho é MUITO BOM. A primeira temporada tem mais fillers, mas eu acho justificável, porque ela introduz os elementos da série aos poucos, e faz com que a gente conheça cada personagem melhor. E isso é super importante até pq essa série inteira é sobre sentimentos.

Tem episódios falando sobre temas bem difíceis, mas do jeito que apenas essa série sabe fazer. Eps sobre relacionamentos saudáveis, tóxicos, traumas, pais...

O que me incomodou são os fillers no meio da ação. Uma crise acontecendo e a gente tendo que acompanhar um drama menor. Mas de resto gostei bastante. O final tbm é muito bom.

Agora, é um desenho bem diferente de hora de aventura, por exemplo. Claro, hora de aventura é muito melhor que Steven Universo, mas acho legal ver as diferenças entre as séries.

Uma das minhas maiores (e talvez única) critica minha a Hora de Aventura é que eles não cansam de ficar deixando pontas soltas. A série terminou com um bilhão de mistérios, aí fazem outra série respondendo que responde, mas, ao mesmo tempo, cria um monte de outras dúvidas.

Agora Steven Universo encerra corretamente. É muito mais redondinho. Mas tbm o universo aqui é ordens de grandeza menor, o que facilita as coisas.

Outra diferença é como os conflitos são resolvidos. Em hora de aventura é um desenho feito por um menino, então tem lutinhas batalhas e etc. Já o Steven não consegue matar um besouro (tem essa cena), e todos os conflitos são resolvidos na base da conversa. Jeitos diferentes, e estou grato de existir os dois desenhos, cada um do seu jeito.",,False,True
tt10574340,Steven Universe Future,2019,8.0,"É muito ruim. Dava pra ter feito algo muito melhor, mas aí encheu de filler, de coisa ruim. Aqui bastava fazer eps sobre os personagens menores, o que aconteceu com eles. Mas resolveram fazer uma história lá muito mal executada e o final tbm é bem ruim.",,False,True
tt9253284,Andor,2022,,,['Star Wars'],True,False
tt20723374,Star Wars: Tales of the Jedi,2022,,,['Star Wars'],True,True
tt32019314,Star Wars: Tales of the Empire,2024,,,['Star Wars'],True,True
tt36414431,Star Wars: Tales of the Underworld,2025,,,['Star Wars'],True,True
tt30645193,The War Between the Land and the Sea,2025,7.1,"Toda a construção da série ao longo dos episódios é muito boa e te envolve bastante na trama. Os episódios funcionam bem individualmente, e os cliffhangers ajudam a manter o interesse alto.

Infelizmente, como tem parecido comum em produções recentes do Russell T Davies, o problema está no final, que acaba sendo morno. A solução é amarga e até faz sentido, mas faltou uma execução mais cuidadosa e melhor desenvolvimento dessa parte.

A última cena, em especial, é bem fraca. O que mais pesa contra ela é o hype criado pelo próprio RTD. Ainda assim, se as implicações desse desfecho forem exploradas no futuro, há potencial para algo realmente interessante.",['Whoniverse'],False,False
tt4574334,Stranger Things,2016,8.0,"Fim.

Há 10 anos conhecemos a série que fez a Netflix ser o que a Netflix é hoje. Eu lembro de conversar com minha professora de inglês sobre como seria a segunda temporada logo após assistir à primeira. Eu lembro de ficar acordado até tarde para a Marília Gabriela apresentar o Noticias Estranhas após o Teleton. Eu lembro de jogar o joguinho para Android que a Netflix lançou. E ano passado eu finalmente joguei RPG de mesa pela primeira vez (com o Vecna original de D&D sendo o vilão da campanha).

Estranger Tingues, ou Stranger Things (2016) fez parte da minha história, os atores cresceram junto comigo e foi uma grande aventura acompanhar essa série.

Mas... já tava passando da hora de acabar, né?

Uma demora absurda para lançar as temporadas. Para fins de comparação, entre a 4° e a 5° temporada tivemos em Doctor Who:

- 1 Especial de 100 anos da BBC;
- 3 Especiais de 60 anos da série;
- 2 Especiais de Natal;
- E duas temporadas.

Demorou tanto que chegou no final os atores já estavam todos velhos e tendo que interpretar meninos de 16 anos.

Mas vamos lá, temporada por temporada (COM SPOILERS, então cuidado):

A primeira temporada não tenho o que dizer. Foi o que criou esse fenômeno chamado Stranger Things, e que acabou gerando essa fama tão grande que acabou até prejudicando a série, fazendo os Irmãos Duffer alongarem mais a série do que eles tinham planejado (ou ainda mudar o roteiro e fazerem coisas diferentes do que haviam pensado a princípio).

A segunda não é tão boa quanto da primeira, mas não está tão longe. E introduziu para a gente o vilão mais interessante da série que é o Mind Flayer.

A terceira temporada tem muitos momentos bons para eu chamar ela de ruim. Mesmo o vilão não sendo tão bom, e não avançando muito na historia principal, é uma temporada muito divertida.

A quarta temporada é um espetáculo, são vários filmes rolando ao mesmo tempo. Simplesmente uma experiência.

Já a quinta temporada… Ela começa bem, mas expõe bastante os furos e inconsistências entre as temporadas e o final que eles construíram. A medida que a série vai chegando no final, as peças não encaixam direito. E a segunda parte é bem ruim e dá uma desanimada bem grande pro episódio final.

E aqui, precisamos falar sobre o Will ser gay. Não acho que cabia naquela série falar disso, especialmente por se tratar de uma série nos anos 80. Falar de homossexualidade aqui, nesse contexto, exigiria um tato maior, um cuidado na hora de abordar o tema que não só os criadores não tiveram, como não havia tempo no meio de tanta coisa acontecendo.

Chegando no último episódio, temos um enredo bem previsível, sem grandes surpresas. Mas que não chegou a ser péssimo ou que estragou a série. Me incomodei bastante com as cenas finais, após a batalha, porque foi muito tempo usado para poder finalizar as histórias de todo mundo, aí só ficou chato mesmo. Teve muitos outros defeitos também, especialmente a falta de mortes. O último episódio, na verdade, toda essa temporada, precisava de muito mais impacto para funcionar melhor.

Apesar do final, minha nota para Stranger Things é alta. A vida é o caminho, não? E esse aqui valeu a pena percorrer.",,True,False
tt11932902,Astronauta,2024,,"É uma animação original da HBO do Astronauta. Achei arriscado fazer uma animação para adultos de um personagem da Turma da Monica, mas acredito que foi certeiro. Os episódios são bem confusos na verdade, mas, ao mesmo tempo, são muito bons e com visuais impressionantes. Espero que tenha uma próxima temporada.

E tomara que essas animações pra jovens e adultos façam sucesso e que realizem um sonho meu que é adaptar a saga Umbra da Turma da Mônica Jovem (e tudo de ruim pra quem fez aquele live action porcaria **Turma da Mônica Jovem: Reflexos do Medo (2024)**. Simplesmente uma das piores produções já feitas).",['Turma da Mônica'],True,False
tt2307498,Acampamento de Férias,2009,,,,True,True
